"name","street_address","google_map","review_count","phone","website","restaurant_type","average_review","food_review","service_review","ambience_review","value_review","price_range","star_1","star_2","star_3","star_4","star_5","description","restaurant_main_type","latitude","longitude","postal_code","violation_count"
"la masseria","235 West 48th Street New York, NY  10036","//www.google.com/maps/search/?api=1&query=40.7604370%2C-73.985575",3664,"(212) 582-2111","http://www.lamasserianyc.com/","Italian",4.63664,4.7,4.6,4.5,4.2,"$31 to $50",0,1,4,24,71,"La Masseria Restaurant is inspired from ancient fortified farmhouses that in the Puglia Region of Italy are called “Masseria”. Executive Chef/Co-Owner, Pino Coladonato, grew up on a Farm in Puglia. He was forced to eat whatever was available but soon was tired of bean puree and decided to take matters into his own hands, creating new ways to use the same few ingredients. Now, with limitless ingredients to choose from, fava beans, chickpeas and lentils are still a core element in many of his entrees. Interior Designer Libby Langdon has created a warm, inviting dining atmosphere. Rustic and relaxed, with plenty of old world charm. Oversize iron sconces custom made from antique wrought iron gates punctuate the walls, and artful displays of antique farm tools mixed with various authentic Italian photographs all add to the farmhouse appeal. The 250-bottle wine list encompasses all regions of Italy with few of the best American and the rest of the world.","Italian",40.7608251,-73.9862213,10036,6
"porsena","21 East 7th Street New York, NY  10003","//www.google.com/maps/search/?api=1&query=40.7286500%2C-73.989432",338,"(212) 228-4923","http://porsena.com/","Italian",4.6338,4.6,4.3,4.4,4.2,"$30 and under",0,2,6,23,69,"Just a few blocks from Astor Place, Porsena is a trattoria in the convivial Italian tradition where friends and neighbors gather along with tourists and passers-by. Chef Sara Jenkins has drawn on memories of her Tuscan and Roman childhood to create a pasta-centric menu featuring Italy’s finest artisanal pastas, served with traditional and imaginative sauces, as well as a series of tasty antipasti and hearty main courses. Modeled after the simple restaurants in Italy that serve as neighborhood dining rooms, the menu focuses on a timeless list of classic Italian dishes such as maccheroncini al ragu and spaghetti con le vongole. Porsena is just the kind of colorful neighborhood restaurant you might be thrilled to find in the narrow back streets of Rome or Florence.","Italian",40.7286874,-73.9895021,10003,9
"riverpark","450 East 29th Street New York, NY  10016","//www.google.com/maps/search/?api=1&query=40.7393840%2C-73.973595",3113,"(212) 729-9790","http://www.riverparknyc.com/","American",4.63113,4.5,4.5,4.7,4.1,"$31 to $50",0,1,7,22,70,"Located on a unique garden plaza with romantic East River views, Riverpark represents a dynamic culinary destination in Manhattan's Kip's Bay neighborhood, reflecting Tom Colicchio’s overall vision as restaurateur and showcasing the restaurant’s very own urban farm just feet away from the kitchen. Riverpark’s modern American menus change daily, highlighting seasonal ingredients from Riverpark Farm as well as local farms and green-markets.","American",40.7398081,-73.9737283,10016,9
"etcetera etcetera","352 West 44th Street New York, NY  10036","//www.google.com/maps/search/?api=1&query=40.7591600%2C-73.990333",2714,"(212) 399-4141","http://www.etcetcnyc.com/","Italian",4.62714,4.6,4.6,4.4,4.2,"$31 to $50",0,1,6,27,66,"""Just a heartbeat away from the buzz of Broadway and the vibrant energy of Hell’s Kitchen, Etcetera Etcetera is a modern and cozy oasis of culinary delights – the perfect place for pre-dinner cocktails, post-theatre dinners and everything in between.  Owner Daniele Kucera has drawn on his own unique cultural heritage and many years of restaurant expertise to create a warm sanctuary of elegant dining.  With its sleek, gorgeous interior and sharp, friendly staff, Etcetera Etcetera has become a heavenly haven and shimmering neighborhood fixture for both discriminating New Yorkers and curious tourists.  In addition to mouth-watering favorites such as Scialatielli, Grouper and Skirt Steak, there are always fresh and innovative options on the seasonal menus, and the outgoing staff is always good for a tasty recommendation. Whether you are looking for an intimate dinner, planning a large party or just want to grab fare, you can do it all in grand style at Etcetera Etcetera."" ","Italian",40.7592451,-73.9911523,10036,7
"gran morsi","22 Warren Street New York, NY  10007","//www.google.com/maps/search/?api=1&query=40.7143530%2C-74.007741",266,"(212) 577-2725","http://www.granmorsi.com/","Italian",4.6266,4.5,4.4,4.5,4.1,"$31 to $50",0,1,9,20,70,"Gran Morsi, named after the Italian word for “bites,” epitomizes elegant simplicity. This airy and convivial Tribeca restaurant specializes in boldly-flavored Italian fare with a strong focus on small and shared plates, many of which are cooked in the brick oven. Gran Morsi provides both downtown Manhattan residents and visitors with a dining experience fit for whatever they’re in the mood for, whether it’s a special occasion celebration, an intimate evening or a casual night out with friends.","Italian",40.7143072,-74.0077715,10007,9
"hanjan","36 West 26th Street New York, NY  10010","//www.google.com/maps/search/?api=1&query=40.7441790%2C-73.990668",259,"(212) 206-7226","http://www.hanjan26.com/","Korean",4.6259,4.5,4.3,4.3,3.9,"$31 to $50",1,1,6,22,70,"HANJAN is Chef Hooni Kim’s second restaurant after DANJI , located in the Flatiron District in New York. It was inspired by the joomak, an old Korean tavern that offered weary travellers good food, good drinks and a place to rest. Many of the dishes at HANJAN are meant to evoke Korean street markets that offer comfort food enjoyed by people in Korea in their everyday life.At Hanjan and Danji we choose to use meat raised with no antibiotics or growth hormones. Our fish are caught wild and are not overfished and endangered. We try to use as much organic and local produce as possible. No doubt these ingredients cost more but we believe the food we consume should be healthy and responsible as well as delicious.","Japanese & Koren",40.7442413,-73.9906129,10010,7
"the shakespeare","24 E. 39th Street New York, NY  10016","//www.google.com/maps/search/?api=1&query=40.7506060%2C-73.980175",255,"(646) 837-6779","http://www.theshakespearenyc.com/","British",4.6255,4.3,4.5,4.5,4.1,"$31 to $50",0,2,8,18,72,"The Shakespeare offers well-kept beers and cask ales and friendly service in a casual no-frills environment. Serving a more sophisticated ‘pub grub’ repertoire coupled with a setting reminiscent of a 14th century tavern, the pub is the perfect place to have a pint and grab a bite to eat. We also have two elegant rooms located above the pub, The Peacock Room is modeled after a 19th Century gentleman’s club complete with an elegant fireplace. The Garden Room is decorated beautifully with artwork by Bradley Wood and a stunning Waterford Crystal Chandelier. We are as well fortunate to have Raines Law Room located in the same building at The William where guests can enjoy craft cocktails with a small bite and dessert menu.","Other Europe",40.7504836,-73.9802711,10016,8
"la loteria","29 7th Ave South New York, NY  10014","//www.google.com/maps/search/?api=1&query=40.7307520%2C-74.004144",245,"(212) 858-9096","http://www.laloterianyc.com/","Contemporary Mexican",4.6245,4.5,4.3,4.2,4.1,"$31 to $50",1,2,3,23,71,"Welcome to La Lotería — a new take on authentic Mexican cuisine from Executive Chef/Owner  Julieta Ballesteros (Crema, Los Feliz) and Managing Partner/Owner  Jaime Herrera.  The game La Lotería has been played throughout Mexico since Colonial times. Similar in concept to American Bingo, it is played using 54 widely varied characters and symbols of Mexican culture (like the skull, the moon, the mermaid & the rooster), and it inspires our ambiance, drinks, and menu. Not unlike the game, Mexican cuisine is unique, varied and steeped in tradition. With the cultural touchstone of La Lotería at its core, the restaurant will introduce to New York’s sophisticated palate an exciting and surprising mix of Mexican recipes, ranging from the deliciously elemental “street” taco, to the luscious lobster quesadilla. Come experience the spirit of La Lotería. Our specialty drinks and inspired cuisine await you in our inviting, newly designed West Village space.","Mexican",40.7308623,-74.0041448,10014,9
"tao downtown","92 Ninth Ave New York, NY  10011","//www.google.com/maps/search/?api=1&query=40.7426140%2C-74.004205",2291,"(212) 888-2724","http://www.taodowntown.com/","Pan-Asian",4.62291,4.5,4.3,4.7,4.1,"$50 and over",2,2,7,16,73,"TAO Downtown was created to offer its guests a sensual trip through the cuisines of Asia.  From the moment one enters, they are transported to another world, designed to relax and indulge all of the senses.  TAO locations in New York, Las Vegas & Los Angeles are frequented on a regular basis by celebrities, athletes & influencers alike.  The Pan-Asian cuisine of TAO Downtown, which is prepared by Executive Chef Yoshi Kojima, is coveted the world over.  The décor has been meticulously designed and is accented throughout by imported artifacts from China, Japan and Thailand; all of this under the watchful eye of TAO’s signature 16 foot tall Quan Yin, the Goddess of Compassion.","Asian",40.7425376,-74.0038464,10011,5
"barbounia","250 Park Ave South New York, NY  10003","//www.google.com/maps/search/?api=1&query=40.7380000%2C-73.988",2279,"(212) 995-0242","http://www.barbounia.com/","Mediterranean",4.62279,4.5,4.3,4.4,4.1,"$30 and under",1,2,7,20,70,"Barbounia is an oasis of modern Mediterranean cuisine, influenced by the food and cultures of Greece, Southern France, Morocco and Southern Italy combined with a beautiful chic ambiance and a welcoming staff. Under the direction of Partners Alon Jibli and David Sasson, the restaurant is said to “move into Manhattan’s top tier of Mediterranean’s” as stated eloquently by Bob Lape of Crain’s. Barbounia is open daily for lunch, dinner and a weekend brunch.","Mediterranean",40.7382552,-73.988214,10003,16
"almond","12 East 22nd Street New York, NY  10010","//www.google.com/maps/search/?api=1&query=40.7405000%2C-73.9893",2137,"(212) 228-7557","http://almondrestaurant.com/s/flatiron/","Farm-to-table",4.62137,4.4,4.2,4.4,4.1,"$31 to $50",1,2,6,19,72,"Seasonal, Local & Artisanal Since 2001 Co-founder and chef Jason Weiner creates seasonally focused ever-changing menus that are guided by a  market driven ethos. We highlight our personal relationships with growers, fishermen, artisans and winemakers.Our menus are artisanal and market driven featuring some updated takes on classic french/mediterannean cuisine, ethnic street food and lots of stuff in between.  We are obsessive about the handmade...We hang our own charcuterie, grind our own sausage, ferment our own kimchi, dry age own steaks, and smoke our own fish & bacon.The wine list, handpicked by co-owner Eric Lemonides, offers an affordable selection of wines. Specialty cocktails, NY craft beers, and raw bar selections, along with the entire menu are available  at the restaurant’s 25 seat bar.","Other",40.740048,-73.988742,10010,12
"the dutch","131 Sullivan Street New York, NY  10000","//www.google.com/maps/search/?api=1&query=40.7265770%2C-74.002204",2125,"(212) 677-6200","http://www.thedutchnyc.com/","American",4.62125,4.5,4.4,4.4,3.9,"$31 to $50",1,2,6,19,72,"The Dutch is an American restaurant, bar and oyster room inspired by local cafes, country inns, corner taverns, neighborhood bistros, seaside shacks, roadside joints and the same mix of cultural influences that make New York City great. Award-winning Chef Andrew Carmellini's roots-inspired American menu features fresh fish and shellfish, choice meats, local produce and the best of what's around.","American",40.7265537,-74.0020789,10000,4
"vandal","199 Bowery New York, NY  10002","//www.google.com/maps/search/?api=1&query=40.7211380%2C-73.993373",1829,"(212) 400-0199","http://www.vandalnewyork.com/","Tapas / Small Plates",4.61829,4.5,4.4,4.7,4.1,"$50 and over",1,2,6,20,71,"Located at 199 Bowery.","Other",40.7210706,-73.9933815,10002,8
"north square","103 Waverly Place New York, NY  10011","//www.google.com/maps/search/?api=1&query=40.7324390%2C-73.998766",1681,"(212) 254-1200","http://www.northsquareny.com/","American",4.61681,4.5,4.5,4.3,4.5,"$31 to $50",1,2,5,28,64,"North Square is committed to a long-standing Greenwich Village tradition: offering generous, and genuine, hospitality. We serve dinner every day in our dining room and separate, speak-easy lounge, lunch on weekdays, brunch on Saturday, and a Jazz Brunch every Sunday in the lounge. Our approach to seasonal American food draws inspiration from both world traditions and local ingredients, some sourced from our very own rooftop garden. Wine and spirit choices span the globe, with a thoughtful emphasis on American, and especially New York, selections. ","American",40.7324496,-73.9987276,10011,6
"amma","246 E. 51st Street New York, NY  10022","//www.google.com/maps/search/?api=1&query=40.7560000%2C-73.969",1336,"(212) 644-8330","http://www.ammanyc.com/","Indian",4.61336,4.7,4.5,4.1,4.3,"$31 to $50",0,1,4,27,68,"Amma, the name means ""Mother"", is an intimate restaurant and has the same soothing qualities. Opened in 2002 by Anju Sharma, is a gem tucked away on the upper east side of Manhattan, the stylish restaurant evokes images of spices, with its ochre colored walls and sensuous red-orange suede wrap-around banquettes. Art deco chandeliers and pristine linens complete the ambience. In a short period of time, Amma has received numerous accolades from the press. Amma was rated ""Two Stars"" by Mr. William Grimes of NY Times. At Amma, the wine list is updated on a weekly basis and is carefully chosen from 30 countries from around the world. Amma, shows its guest a different India, so old that it is fresh.","Indian",40.755562,-73.9687464,10022,7
"thalassa","179 Franklin Street New York, NY  10013","//www.google.com/maps/search/?api=1&query=40.7193000%2C-74.0092",1224,"(212) 941-7661","http://www.thalassanyc.com/","Seafood",4.61224,4.6,4.6,4.7,4.4,"$31 to $50",1,1,4,23,71,"Contemporary Mediterranean Seafood Restaurant with rare Greek wines and hard to get boutique worldly wine list.","Seafood",40.7191955,-74.0095619,10013,10
"scampi","30 W 18th St New York, NY  10011","//www.google.com/maps/search/?api=1&query=40.7390420%2C-73.993493",12,"(212) 888-2171","http://www.scampinyc.com/","Italian",4.612,4.6,4.5,4.4,4.1,"$30 and under",1,1,9,15,74,"Scampi is a neighborhood, Southern Italian inspired restaurant in the heart of Manhattan's Flatiron district. We use the best ingredients and provide a great atmosphere. 

Looking forward to hosting you soon!","Italian",40.7390428,-73.9934938,10011,3
"masseria dei vini","887-889 9th Ave. New York, NY  10019","//www.google.com/maps/search/?api=1&query=40.7684920%2C-73.985762",1190,"(212) 315-2888","http://www.masseriadeivini.com/","Italian",4.6119,4.6,4.6,4.4,4.1,"$31 to $50",1,2,4,24,69,"Masseria dei Vini (Masseria of Wines) is the new venture brought to you from the La Masseria Team.Restauranteur Pino Coladonato, Peppe Iuele and Enzo Ruggiero have teamed up again with Interior Designer Libby Langdon, bringing you a modern update version of ""Masseria"". In the region of Puglia, in South Italy, Masseria were Fortified Farmhouses, and many of them now have been transformed into Restaurants or Hotels. Executive Chef Pino Coladonato, native of Rutigliano (Bari), has created a menu that blends traditional with modern without overpowering one or the other.The Menu features typical dishes from Puglia, such as ""Crudo"", the Italian word for ""Raw"", made with fish and shellfish, a lot of fresh homemade pastas and Ravioli.The menu also offers Gourmet Pizza Neapolitan style.The Restaurant offers an extensive wine by the glass program and a large selection of wine bottles, mainly from Italy, but without ignoring the rest of the world.","Italian",40.7684477,-73.9857048,10019,9
"bob's steak & chop house","19 East 52nd St. New York, NY  10022","//www.google.com/maps/search/?api=1&query=40.7593290%2C-73.975153",117,"(212) 754-5011","http://www.bobs-steakandchop.com/","Steakhouse",4.6117,4.6,4.7,4.5,4.3,"$50 and over",1,1,3,21,74,"Bob's Steak & Chop House-New York is a traditional American Prime Steakhouse that has been recognized for its lively atmosphere, big drinks, fine wines and large cuts of the finest prime steaks, chops, and seafood.   Bob’s offers top quality prime cuts of beef –  sourced for 23 years from the same Chicago meat supplier. Bob’s prime beef is hand selected from the top 2% of all U.S. beef produced, house trimmed and expertly grilled.   Come visit us and enjoy the taste of prime beef served by people who take real pride in the name ""Bob's Steak & Chop House.”","Steakhouse",40.759588,-73.9750827,10022,11
"suzuki","114 W 47th Street New York, NY  10036","//www.google.com/maps/search/?api=1&query=40.7581400%2C-73.983006",88,"(212) 278-0010","http://www.suzukinyc.com/","Japanese",4.588,4.4,4.6,4.4,4.1,"$50 and over",2,2,5,23,68,"**Reservations through OpenTable are ONLY for the main dining and NOT for SATSUKI sushi bar**SUZUKI is a modern contemporary environment serving traditional Japanese Kaiseki Course, table dining experience, serving seasonal items from Japan.All courses changes accordingly with the seasons.**Reservations through OpenTable are ONLY for the main dining and NOT for SATSUKI sushi bar**Sushi bar reservations are by appointments only, please contact us at 212.278.0047 or info@suzukinyc.com to arrange seating at Satsuki Sushi Bar.","Japanese & Koren",40.7580887,-73.9831407,10036,6
"anassa taverna","200 East 60th Street New York, NY  10022","//www.google.com/maps/search/?api=1&query=40.7620370%2C-73.966063",864,"(212) 371-5200","http://www.anassataverna.com/","Greek",4.5864,4.4,4.2,4.2,4,"$31 to $50",1,2,8,26,63,"This bi-level space is meant to evoke the Greek seashore, with warm weathered colors and decorative jewelry.Menu includes Mediterranean classics as a Greek salad, grilled lamb chops and a swordfish kebab. There's a raw bar, and daily specials that might include Seafood, Artic Char, Monkfish, Lamb Shank or slow-cooked pork shoulder. ","Greek",40.7619091,-73.9658824,10022,10
"gabriel's bar & restaurant","11 West 60th St. New York, NY  10023","//www.google.com/maps/search/?api=1&query=40.7690460%2C-73.982426",776,"(212) 956-4600","http://www.gabrielsbarandrest.com/","Italian",4.5776,4.5,4.4,4.3,4,"$50 and over",1,2,7,23,67,"Gabriel’s Bar & Restaurant is an owner operated Italian restaurant in NYC, conveniently located near Lincoln Center. We have served as a hotspot since December 30,1991 for some of the most powerful, influential people, ranging from the celebrities we all know and love to important politicians and business leaders.We utilize only the freshest, finest ingredients to create each of our delectable dishes. We offer a vast selection of lunch and dinner options that are sure to please even the most discerning of palates. We also have an award-winning wine list, full bar selection, and delectable desserts to provide the perfect complement to your meal.","Italian",40.7693649,-73.9828696,10023,5
"chazz palminteri italian restaurant","30 W 46th Street New York, NY  10036","//www.google.com/maps/search/?api=1&query=40.7564730%2C-73.98063",764,"(212) 355-5540","http://www.chazzpalminterinyc.com/","Italian",4.5764,4.6,4.6,4.4,4.2,"$50 and over",2,2,6,24,66,"Chazz Palminteri Italian Restaurant, conveniently located on 46th street between 5th and 6th avenues, showcases a modern décor.  An intimate bar space with a stunning bar and high top seating. Chazz Palminteri’s features the finest meat, seafood and pasta dishes, as well as antipasto and traditional Italian desserts. Signature dishes include Zuppa di Cozze, Filetto di Pomodoro and Cotoletta di Vitello al Marsala. The upscale Italian eatery offers a global wine list boasting close to 250 wines and is curated to pair with the bold, rich flavors of classic Italian fare. Custom cocktails featuring spirits blended with seasonal ingredients as well as Italian and craft beer are offered as well. The space can accommodate 100+ guests for lunch and dinner.","Italian",40.7564645,-73.980563,10036,8
"morrell wine bar & cafe","1 Rockefeller Plaza New York, NY  10020","//www.google.com/maps/search/?api=1&query=40.7580000%2C-73.979",761,"(212) 262-7700","http://www.morrellwinebar.com/","American",4.5761,4.2,4.2,4.4,3.8,"$31 to $50",1,2,9,26,62,"Morrell Wine Bar & Cafe serves more than approximately 90 wines by the glass, the largest selection in New York City, and an extensive selection of rare and hard-to-find bottles, making it a prime destination for wine lovers. Located on 49th Street, between 5th and 6th Ave, enjoy views of Rockefeller Plaza and during the winter holidays, the famous Rockefeller Center Christmas Tree. Morrell Wine Bar also offers a full lunch and dinner menu, innovative cocktails, and a selection of aged, large format beers from around the world.","American",40.7580629,-73.9788542,10020,6
"the wayfarer","101 West 57th St. New York, NY  10019","//www.google.com/maps/search/?api=1&query=40.7643890%2C-73.977469",626,"(212) 691-0030","http://thewayfarernyc.com/","American",4.5626,4.3,4.2,4.2,3.8,"$31 to $50",1,2,7,22,68,"The Wayfarer opened in 2014 and is a bi-level Classic American grille located on the bustling corner of 57th street and 6th Avenue just below Central Park. The diverse artisanal menu focuses on locally sourced ingredients. The menu is complemented by custom cocktails created by award-winning mixologist, Christian Sanders, of Evelyn Drinkery.The Wayfarer's interior, designed by the award-winning Meyer Davis Studio Inc , evokes a feeling of “old meets new,” drawing inspiration from the 1970’s blended with the classic New York of the 1800’s. The multi-leveled restaurant offers the choice to observe passerby's on the main floor by our open cafe glass windows or enjoy a cocktail in our upstairs lounge.","American",40.7646408,-73.9772407,10019,14
"toloache","251 West 50th Street New York, NY  10012","//www.google.com/maps/search/?api=1&query=40.7621700%2C-73.985663",5178,"(212) 581-1818","http://www.toloachenyc.com/","Mexican",4.55178,4.5,4.4,4.1,4,"$30 and under",1,2,7,28,62,"Welcome to Toloache (pronounced toh-lo-AH-tchay), chef-owner Julian Medina’s contemporary Mexican bistro located in the heart of the Theater District. Toloache is named after a flowering plant famed in Mexico for its use in love potions. We hope that when you dine with us you too will fall under the spell of chef Medina’s creative cooking, which incorporates seasonal and natural ingredients and more than a dozen types of chilies. Our festive, two-story space features a guacamole and ceviche bar, a wood-burning oven, and an exceptional tequila list, along with elegant decorative elements imported from Mexico. We looking forward to seeing you soon.","Mexican",40.7623091,-73.9855741,10012,19
"bread & tulips","365 Park Avenue South New York, NY  10016","//www.google.com/maps/search/?api=1&query=40.7421850%2C-73.984704",472,"(212) 532-9100","http://www.breadandtulipsnyc.com/","Italian",4.5472,4.4,4.2,4.3,4.2,"$30 and under",0,0,11,32,57,"BREAD & TULIPS (Pane & Tulipani) is a cozy neighborhood spot serving rustic Italian cooking in a casual setting. The menu is inspired by the regional diversity of Italy and features handmade pastas and pizzas in addition to traditional antipasti, crostini etc.The warmly-lit dining room is informal and comfortable; a simple tulip adorns each table.Our Wine Alcove,  provides a welcoming space for larger parties of 8 - 14 guests. A family-style group dining menu with optional wine pairings is available.","Italian",40.7421174,-73.984741,10016,4
"mercer kitchen","99 Prince Street New York, NY  10012","//www.google.com/maps/search/?api=1&query=40.7248000%2C-73.9988",4598,"(212) 966-5454","http://www.themercerkitchen.com/","American",4.54598,4.3,4.1,4.4,3.9,"$30 and under",2,3,9,21,65,"Located at the Mercer Hotel, Mercer Kitchen brings a chic, sophisticated vibe to the heart of SoHo. When Mercer Kitchen opened in 1998, it immediately became a destination for New Yorkers, celebrities, and tourists. Situated in the basement of a historic building constructed in the 1800s, the… restaurant was designed by Christian Liaigre as a combination of industrial and classic modernism. Chef Jean-Georges’ American menu features market-driven, seasonal ingredients prepared in a simple yet elegant style, with favorites like the Tuna Spring Roll, Steamed Shrimp Salad, wood-fired pizzas, and classic Warm Valrhona Chocolate Cake. There is an open kitchen, where guests can sit back and watch the show.","American",40.7249587,-73.9987276,10012,9
"altesi ristorante","26 E 64th Street New York, NY  10065","//www.google.com/maps/search/?api=1&query=40.7666620%2C-73.969575",390,"(212) 759-8900","http://www.altesinyc.com/","Italian",4.539,4.5,4.5,4.4,4.1,"$31 to $50",1,3,8,19,69,"Located at 26 East 64th Street, Altesi Madison is one of the two restaurants of Altesi Group,  serving lunch and dinner (as well as Saturday & Sunday brunch). Our recipes are rooted in Italy’s rich culinary tradition and the freshest seasonal ingredients.  Conveniently located just off Madison Avenue,  Altesi Madison has an outdoor dining space in its enclosed garden.  Altesi Madison is a neighborhood gem for gourmets in search of elegant but authentic Italian food.","Italian",40.7666785,-73.9695801,10065,6
"ousia","629 W 57th St New York, NY  10019","//www.google.com/maps/search/?api=1&query=40.7714850%2C-73.994053",383,"(212) 333-2000","http://www.ousianyc.com/","Mediterranean",4.5383,4.4,4.4,4.5,4.1,"$31 to $50",1,1,10,26,62,"Ousia, a Greek-focused Mediterranean concept from the family-owned and operated Livanos Restaurant Group, brings an intimate shared dining experience to Manhattan for lunch, dinner, and weekend brunch.  Celebrating the rich traditions of Mediterranean cuisine in the form of shareable plates, Executive Chef Carlos Carreto crafts memorable meals packed with beloved Greek flavors. Our comforting interpretations of classic recipes arrive at the table in a format that encourages communal dining among friends and family. Director of Operations Kamal Kouiri, who oversees the wine program, complements the chef’s creations with a similarly Greek-centric Mediterranean list accompanied by a selection of innovative cocktails and craft beers.   ","Mediterranean",40.7709893,-73.9925681,10019,11
"high street on hudson","637 hudson st New York, NY  10014","//www.google.com/maps/search/?api=1&query=40.7388420%2C-74.005791",368,"(917) 388-3944","http://www.highstreetonhudson.com/","Contemporary American",4.5368,4.3,4.2,4.3,3.9,"$31 to $50",0,5,8,22,65,"High Street On Hudson also serves morning through evening with a working on-site bread bakery and an exciting expanded dinner program by Chef Sean McPaul. The restaurant received two stars from the NY Times, was named Food & Wine's 2016 Best New Restaurant, and made Michelin's 2017 and 2018 Bib Gourmand list. ","Contemporary American",40.7388972,-74.0057401,10014,13
"brasserie 8 1/2","9 West 57th St. New York, NY  10019","//www.google.com/maps/search/?api=1&query=40.7632810%2C-73.974308",3619,"(212) 829-0812","http://www.brasserie812.com/","French",4.53619,4.4,4.5,4.5,4.3,"$31 to $50",1,2,7,29,61,"Brasserie 8 1/2 is an elegant French restaurant, bar and lounge in Midtown NYC serving lunch, dinner and Sunday brunch buffet. Private dining & catering available.","French",40.763765,-73.9750139,10019,7
"aureole","135 West 42nd Street New York, NY  10036","//www.google.com/maps/search/?api=1&query=40.7557500%2C-73.985568",3346,"(212) 319-1660","http://www.charliepalmer.com/","American",4.53346,4.4,4.4,4.4,3.9,"$31 to $50",1,3,9,25,62,"Welcome to Aureole, the flagship showcase for Chef Charlie Palmer's unabashed, energetic signature progressive American cooking. Entering its 30th year, Aureole is known for its longstanding commitment to seasonal, local sourcing. Aureole offers two distinct dining venues: the refined formal Dining Room and the lively, convivial Liberty Room. In the evening, tasting menus are available in the Michelin-starred Dining Room, with a la carte and pre-theater service in the Liberty Room. For lunch, both spaces serve a three-course prix fixe as well as a la carte selections. When making a reservation please indicate in which space you would like to dine. Please note - Our NYC Restaurant Week menu is only offered in our Liberty Room, Monday-Friday, through August 17.","American",40.7555892,-73.9852848,10036,7
"il mulino prime","331 West Broadway New York, NY  10013","//www.google.com/maps/search/?api=1&query=40.7221840%2C-74.003747",272,"(212) 226-0020","http://www.ilmulino.com/","Italian",4.5272,4.4,4.4,4.2,3.8,"$50 and over",2,3,7,18,70,"Our modern steakhouse and Italian restaurant features inspired cuisine and choice cuts by Executive Chef Michele Mazza. Located in the heart of SoHo, Il Mulino Prime embraces the signature style and unparalleled service attributed to the success of Il Mulino New York.Savor prime dry-aged meats and inspired Italian cuisine at our modern SoHo steakhouse. Sun-dappled by day and sophisticated by night, Il Mulino Prime is a versatile venue that is easily customized for any crowd or occasion. ","Italian",40.7221926,-74.0037316,10013,13
"remi","145 West 53rd Street New York, NY  10019","//www.google.com/maps/search/?api=1&query=40.7624290%2C-73.980349",2206,"(212) 581-4242","http://www.remi-nyc.com/","Italian",4.52206,4.5,4.4,4.5,4.1,"$31 to $50",1,2,7,22,68,"Located in the heart of Midtown, Remi restaurant was created and designed by Adam D. Tihany.Remi combines the cuisine, architecture, and atmosphere of Venice.","Italian",40.7622408,-73.9798689,10019,9
"lafayette","380 Lafayette Street New York, NY  10003","//www.google.com/maps/search/?api=1&query=40.7275520%2C-73.993418",2128,"(212) 533-3000","http://www.lafayetteny.com/","French",4.52128,4.4,4.3,4.5,3.9,"$31 to $50",2,2,6,21,69,"Lafayette is an everyday French restaurant conducting the spirit of French dining anew in downtown Manhattan’s NoHo neighborhood. Open morning, noon and night, this grand café and bakery is dedicated to Chef Andrew Carmellini's market-driven bistro cooking in a timeless hallmark setting. Our light-flushed dining room features soaring arched windows overlooking the NoHo streetscapes and a lively rotisserie bar. Our corner boulangerie-patisserie is open all hours offering artisanal breads, croissants, Stumptown coffee drinks, a light breakfast or lunch and a host of confections. In warm weather months, our sidewalk cafe opens daily for open air breakfast, lunch, brunch and dinner service.","French",40.7276201,-73.9937785,10003,11
"orsay","1057-59 Lexington Avenue New York, NY  10021","//www.google.com/maps/search/?api=1&query=40.7723970%2C-73.960762",1899,"(212) 517-6400 ext. 0","http://www.orsayrestaurant.com/","French",4.51899,4.3,4.3,4.4,3.9,"$31 to $50",1,3,7,24,65,"Designed by partner Jean Denoyer, Orsay strikes that difficult balance of sophisticated-chic in a warm convivial atmosphere. Dark mahogany raised paneled walls meet Art Nouveau styled arches in a deep, creamy butter color. The floor is a work of art, Italian mosaic tiles in warm tones of precious metals hand laid in a beautiful fan pattern that floats in waves across the expanse of floor. Banquettes with high wood backs topped with frosted glass panels provide privacy if wanted, and the low, soft lighting emanates from Art Nouveau period chandeliers that Denoyer had custom designed. A 20-foot long zinc-topped wood bar shipped in one piece from France, and French doors that spill onto the sidewalk terrace, completing the feeling that you are in the 9th arrondisement in Paris. This sophisticated and elegant Parisian-style brasserie marries modern French cuisine and classic brasserie fare. Orsay's award-winning wine list includes all 300 predominantly French and American varietals.","French",40.7723839,-73.9604582,10021,8
"gaonnuri","1250 BROADWAY 39th Floor New York, NY  10001","//www.google.com/maps/search/?api=1&query=40.7481350%2C-73.988038",1830,"(212) 971-9045","http://www.gaonnurinyc.com/","Korean",4.5183,4.4,4.3,4.6,4,"$31 to $50",1,2,7,24,66,"GAONNURI RESTAURANT / THE PENTHOUSE BAR & LOUNGE GAONNURI [gah-ohn-nu-ri]: The Center of the WorldThe name GAONNURI represents our placement in what we believe is the center of the world, both physically and figuratively. Located in the heart of New York City,a city that represents the intersection of the finest cuisines and eclectic cultures, GAONNURI seeks to gather people of all backgrounds to sharein a traditional Korean dining experience. We hope that the authenticity of the foodand the enjoyment of the dining experience will invite patrons for generations to come.Thank you for allowing us to invite and serve you in our own culinary center.","Japanese & Koren",40.7476831,-73.9878697,10001,4
