"DBA","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE"
"obao","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",31,"C","12/20/2017"
"obao","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",31,"C","12/20/2017"
"obao","Hot food item not held at or above 140o F.","Y",31,"C","12/20/2017"
"obao","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",31,"C","12/20/2017"
"obao","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",31,"C","12/20/2017"
"perrine","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",10,"A","01/05/2018"
"perrine","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",10,"A","01/05/2018"
"temple court","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","01/05/2018"
"temple court","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","01/05/2018"
"temple court","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","01/05/2018"
"felice 64 wine bar","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",22,"B","01/10/2018"
"felice 64 wine bar","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",22,"B","01/10/2018"
"gaonnuri","Hot food item not held at or above 140o F.","Y",10,"A","01/10/2018"
"morrell wine bar & cafe","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",9,"A","01/10/2018"
"morrell wine bar & cafe","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","01/10/2018"
"gaonnuri","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",10,"A","01/10/2018"
"temple court","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",11,"A","01/10/2018"
"temple court","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","01/10/2018"
"felice 64 wine bar","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",22,"B","01/10/2018"
"temple court","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",11,"A","01/10/2018"
"green fig","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","01/11/2018"
"green fig","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",9,"A","01/11/2018"
"amma","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",9,"A","01/17/2018"
"amma","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","01/17/2018"
"bodega negra","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",10,"A","01/22/2018"
"bodega negra","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",10,"A","01/22/2018"
"vandal","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",5,"A","01/23/2018"
"lafayette","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",12,"A","01/24/2018"
"abc kitchen","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","01/24/2018"
"claudette","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",12,"A","01/24/2018"
"lafayette","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",12,"A","01/24/2018"
"claudette","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",12,"A","01/24/2018"
"abc kitchen","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","01/24/2018"
"lafayette","Proper sanitization not provided for utensil ware washing operation.","N",12,"A","01/24/2018"
"abc kitchen","Single service item reused, improperly stored, dispensed; not used when required.","N",12,"A","01/24/2018"
"barbounia","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","01/25/2018"
"barbounia","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","01/25/2018"
"barbounia","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",13,"A","01/25/2018"
"michael's","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","01/29/2018"
"michael's","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","01/29/2018"
"michael's","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","01/29/2018"
"il cortile restaurant","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","01/30/2018"
"il cortile restaurant","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",9,"A","01/30/2018"
"batard","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",2,"A","01/31/2018"
"little park","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","02/02/2018"
"little park","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",12,"A","02/02/2018"
"little park","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Y",12,"A","02/02/2018"
"the dutch","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",6,"A","02/07/2018"
"obao","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",21,"B","02/09/2018"
"obao","Food Protection Certificate not held by supervisor of food operations.","Y",21,"B","02/09/2018"
"obao","Live roaches present in facility's food and/or non-food areas.","Y",21,"B","02/09/2018"
"bocca","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",10,"A","02/13/2018"
"bocca","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",10,"A","02/13/2018"
"bocca","Proper sanitization not provided for utensil ware washing operation.","N",10,"A","02/13/2018"
"kellari taverna","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",13,"A","02/14/2018"
"kellari taverna","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",13,"A","02/14/2018"
"the house in gramercy park","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","02/15/2018"
"the house in gramercy park","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",13,"A","02/15/2018"
"the house in gramercy park","Food contact surface not properly maintained.","N",13,"A","02/15/2018"
"bar boulud","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","02/15/2018"
"bar boulud","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",13,"A","02/15/2018"
"lincoln ristorante","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",9,"A","02/16/2018"
"lincoln ristorante","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","02/16/2018"
"lincoln ristorante","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Y",9,"A","02/16/2018"
"il mulino prime","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",10,"A","02/20/2018"
"il mulino prime","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",10,"A","02/20/2018"
"riverpark","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",8,"A","02/21/2018"
"benjamin steakhouse prime","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","N",12,"A","02/26/2018"
"molyvos","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",9,"A","02/26/2018"
"benjamin steakhouse prime","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Y",12,"A","02/26/2018"
"benjamin steakhouse prime","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","02/26/2018"
"molyvos","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",9,"A","02/26/2018"
"high street on hudson","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",11,"A","03/01/2018"
"high street on hudson","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",11,"A","03/01/2018"
"rafele","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",6,"A","03/02/2018"
"pig and khao","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",13,"A","03/03/2018"
"mifune new york","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",10,"A","03/03/2018"
"pig and khao","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",13,"A","03/03/2018"
"mifune new york","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",10,"A","03/03/2018"
"society cafe","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",13,"A","03/05/2018"
"society cafe","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",13,"A","03/05/2018"
"pera soho","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",13,"A","03/07/2018"
"pera soho","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","03/07/2018"
"pera soho","Food contact surface not properly maintained.","N",13,"A","03/07/2018"
"bobo restaurant","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",11,"A","03/09/2018"
"bobo restaurant","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","03/09/2018"
"el toro blanco","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",12,"A","03/13/2018"
"el toro blanco","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",12,"A","03/13/2018"
"el toro blanco","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","03/13/2018"
"baar baar","Hot food item not held at or above 140o F.","Y",12,"A","03/14/2018"
"baar baar","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","03/14/2018"
"pera mediterranean brasserie","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",13,"A","03/14/2018"
"pera mediterranean brasserie","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","03/14/2018"
"hearth","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",9,"A","03/15/2018"
"hearth","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",9,"A","03/15/2018"
"meet the meat","Wiping cloths soiled or not stored in sanitizing solution.","Y",12,"A","03/16/2018"
"meet the meat","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",12,"A","03/16/2018"
"bar italia","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","03/20/2018"
"bar italia","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",13,"A","03/20/2018"
"bar italia","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","03/20/2018"
"la masseria","Hot food item not held at or above 140o F.","Y",11,"A","03/26/2018"
"la masseria","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","03/26/2018"
"db bistro moderne","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",13,"A","03/28/2018"
"db bistro moderne","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","03/28/2018"
"db bistro moderne","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","03/28/2018"
"chez josephine","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",13,"A","03/29/2018"
"maloney & porcelli","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",3,"A","03/29/2018"
"chez josephine","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",13,"A","03/29/2018"
"1 darbar","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",13,"A","04/02/2018"
"1 darbar","Hot food item not held at or above 140o F.","Y",13,"A","04/02/2018"
"noreetuh","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",12,"A","04/03/2018"
"'cesca","Hot food item not held at or above 140o F.","Y",8,"A","04/03/2018"
"noreetuh","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",12,"A","04/03/2018"
"noreetuh","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",12,"A","04/03/2018"
"tavern on the green","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",12,"A","04/05/2018"
"tavern on the green","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",12,"A","04/05/2018"
"tavern on the green","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","04/05/2018"
"le coq rico","Hot food item not held at or above 140o F.","Y",10,"A","04/10/2018"
"le coq rico","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",10,"A","04/10/2018"
"ousia","Canned food product observed dented and not segregated from other consumable food items.","N",12,"A","04/12/2018"
"ousia","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","04/12/2018"
"ousia","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Y",12,"A","04/12/2018"
"nice matin","Accurate thermometer not provided in refrigerated or hot holding equipment.","N",6,"A","04/18/2018"
"nice matin","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",6,"A","04/18/2018"
"nice matin","Food contact surface not properly maintained.","N",6,"A","04/18/2018"
"the shakespeare","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",10,"C","04/19/2018"
"chazz palminteri italian restaurant","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","04/19/2018"
"chazz palminteri italian restaurant","Hot food item not held at or above 140o F.","Y",11,"A","04/19/2018"
"chazz palminteri italian restaurant","Food contact surface not properly maintained.","N",11,"A","04/19/2018"
"the shakespeare","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",10,"C","04/19/2018"
"remi","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",8,"A","04/23/2018"
"remi","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",8,"A","04/23/2018"
"mercer kitchen","Wiping cloths soiled or not stored in sanitizing solution.","Y",12,"A","04/24/2018"
"mercer kitchen","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",12,"A","04/24/2018"
"ammos estiatorio","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","04/26/2018"
"ammos estiatorio","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Y",12,"A","04/26/2018"
"ammos estiatorio","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","04/26/2018"
"felice 64 wine bar","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",5,"A","05/01/2018"
"la fonda del sol","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",12,"A","05/03/2018"
"la fonda del sol","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","05/03/2018"
"la fonda del sol","Food contact surface not properly maintained.","N",12,"A","05/03/2018"
"la fonda del sol","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","05/03/2018"
"etcetera etcetera","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",9,"A","05/08/2018"
"etcetera etcetera","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","05/08/2018"
"etcetera etcetera","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",9,"A","05/08/2018"
"scarpetta","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",53,"C","05/09/2018"
"scarpetta","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",53,"C","05/09/2018"
"scarpetta","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",53,"C","05/09/2018"
"scarpetta","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",53,"C","05/09/2018"
"scarpetta","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",53,"C","05/09/2018"
"north square","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",2,"A","05/10/2018"
"rock center cafe","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",3,"A","05/23/2018"
"monkey bar","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Y",13,"A","05/24/2018"
"monkey bar","Hot food item not held at or above 140o F.","Y",13,"A","05/24/2018"
"gabriel's bar & restaurant","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",5,"A","06/04/2018"
"glass house tavern","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","06/05/2018"
"glass house tavern","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","06/05/2018"
"glass house tavern","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",13,"A","06/05/2018"
"bread & tulips","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",3,"A","06/05/2018"
"brasserie seoul","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",6,"A","06/06/2018"
"brasserie seoul","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",6,"A","06/06/2018"
"the leopard at des artistes","Wiping cloths soiled or not stored in sanitizing solution.","Y",12,"A","06/09/2018"
"the leopard at des artistes","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",12,"A","06/09/2018"
"the leopard at des artistes","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","06/09/2018"
"green fig","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",12,"A","06/11/2018"
"green fig","Food contact surface not properly maintained.","N",12,"A","06/11/2018"
"green fig","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","06/11/2018"
"craft","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",12,"A","06/12/2018"
"obao","Wiping cloths soiled or not stored in sanitizing solution.","Y",17,"B","06/12/2018"
"obao","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",17,"B","06/12/2018"
"obao","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",17,"B","06/12/2018"
"lexington brass","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","06/12/2018"
"lexington brass","""""Wash hands<e2><U+0080>?sign not posted at hand wash facility.","N",13,"A","06/12/2018"
"craft","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","06/12/2018"
"lexington brass","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",13,"A","06/12/2018"
"craft","Wiping cloths soiled or not stored in sanitizing solution.","Y",12,"A","06/12/2018"
"thalassa","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","06/13/2018"
"thalassa","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",13,"A","06/13/2018"
"thalassa","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","06/13/2018"
"porsena","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","06/14/2018"
"porsena","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",11,"A","06/14/2018"
"porsena","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",11,"A","06/14/2018"
"bob's steak & chop house","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",9,"A","06/15/2018"
"bob's steak & chop house","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","06/15/2018"
"vaucluse","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",7,"A","06/18/2018"
